"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup"
"CS-I","60","CS-I-G1","30","",""
"CS-I","60","CS-I-G2","30","",""
"EC-I","60","EC-I-G1","30","",""
"EC-I","60","EC-I-G2","30","",""
"ME-I","60","ME-I-G1","30","",""
"ME-I","60","ME-I-G2","30","",""
"EE-I","60","EE-I-G1","30","",""
"EE-I","60","EE-I-G2","30","",""
"CE-I","60","CE-I-G1","30","",""
"CE-I","60","CE-I-G2","30","",""
"BT-I","60","BT-I-G1","30","",""
"BT-I","60","BT-I-G2","30","",""
"MAM-I","60","","","",""
"MAM-II","60","","","",""
"MAC-I","60","","","",""
"MAC-II","60","","","",""
"MAP-I","60","","","",""
"MAP-II","60","","","",""
"MFS-I","60","","","",""
"MFS-II","60","","","",""
"MTF-I","60","","","",""
"MTF-II","60","","","",""
"FT-I","60","","","",""
"FT-II","60","","","",""
"CS-III","60","CS-III-G1","30","",""
"CS-III","60","CS-III-G2","30","",""
"EC-III","60","EC-III-G1","30","",""
"EC-III","60","EC-III-G2","30","",""
"CS-II-A","60","CS-II-A-G1","30","",""
"CS-II-A","60","CS-II-A-G2","30","",""
"EC-II","60","EC-II-G1","30","",""
"EC-II","60","EC-II-G2","30","",""
"CS-IV","60","CS-IV-G1","30","",""
"CS-IV","60","CS-IV-G2","30","",""
"EC-IV","60","EC-IV-G1","30","",""
"EC-IV","60","EC-IV-G2","30","",""
"MTE-I","60","MTE-I-G1","30","",""
"MTE-I","60","MTE-I-G2","30","",""
"MTV-II","60","MTV-II-G1","30","",""
"MTV-II","60","MTV-II-G2","30","",""
"MTW-I","60","MTW-I-G1","30","",""
"MTW-I","60","MTW-I-G2","30","",""
"MTW-II","60","MTW-II-G1","30","",""
"MTW-II","60","MTW-II-G2","30","",""
"MTS-I","60","MTS-I-G1","30","",""
"MTS-I","60","MTS-I-G2","30","",""
"MTI-I","60","MTI-I-G1","30","",""
"MTI-I","60","MTI-I-G2","30","",""
"MTI-II","60","MTI-II-G1","30","",""
"MTI-II","60","MTI-II-G2","30","",""
"BT-II","60","BT-II-G1","30","",""
"BT-II","60","BT-II-G2","30","",""
"MTB2-I","60","MTB2-I-G1","30","",""
"MTB2-I","60","MTB2-I-G2","30","",""
"MTB2-II","60","MTB2-II-G1","30","",""
"MTB2-II","60","MTB2-II-G2","30","",""
"MTB3-I","60","MTB3-I-G1","30","",""
"MTB3-I","60","MTB3-I-G2","30","",""
"MTB3-II","60","MTB3-II-G1","30","",""
"MTB3-II","60","MTB3-II-G2","30","",""
"MTB3-III","60","MTB3-III-G1","30","",""
"MTB3-III","60","MTB3-III-G2","30","",""
"MES-I","60","MES-I-G1","30","",""
"MES-I","60","MES-I-G2","30","",""
"MES-II","60","MES-II-G1","30","",""
"MES-II","60","MES-II-G2","30","",""
"BT-III","60","BT-III-G1","30","",""
"BT-III","60","BT-III-G2","30","",""
"BT-IV","60","BT-IV-G1","30","",""
"BT-IV","60","BT-IV-G2","30","",""
"EE-II","60","EE-II-G1","30","",""
"EE-II","60","EE-II-G2","30","",""
"EE-III","60","EE-III-G1","30","",""
"EE-III","60","EE-III-G2","30","",""
"EE-IV (PS)","60","EE-IV (PS)-G1","30","",""
"EE-IV (PS)","60","EE-IV (PS)-G2","30","",""
"MTIC-I","60","MTIC-I-G1","30","",""
"MTIC-I","60","MTIC-I-G2","30","",""
"CE-II","60","CE-II-G1","30","",""
"CE-II","60","CE-II-G2","30","",""
"CE-III","60","CE-III-G1","30","",""
"CE-III","60","CE-III-G2","30","",""
"MTST-II","60","MTST-II-G1","30","",""
"MTST-II","60","MTST-II-G2","30","",""
"MABS-I","60","MABS-I-G1","30","",""
"MABS-I","60","MABS-I-G2","30","",""
"MABS-II","60","MABS-II-G1","30","",""
"MABS-II","60","MABS-II-G2","30","",""
"MPBS-I","60","MPBS-I-G1","30","",""
"MPBS-I","60","MPBS-I-G2","30","",""
"PBSC-I","60","PBSC-I-G1","30","",""
"PBSC-I","60","PBSC-I-G2","30","",""
"Ph.D. App Math","60","Ph.D. App Math-G1","30","",""
"Ph.D. App Math","60","Ph.D. App Math-G2","30","",""
"Ph.D. App Phy","60","Ph.D. App Phy-G1","30","",""
"Ph.D. App Phy","60","Ph.D. App Phy-G2","30","",""
"CE-IV-S","60","","","",""
"CE-IV-E","60","","","",""
"ME-II","60","ME-II-G1","30","",""
"ME-II","60","ME-II-G2","30","",""
"ME-III","60","ME-III-G1","30","",""
"ME-III","60","ME-III-G2","30","",""
"ME-V-D","60","ME-V-D-G1","30","",""
"ME-V-D","60","ME-V-D-G2","30","",""
"MTIE-II","60","MTIE-II-G1","30","",""
"MTIE-II","60","MTIE-II-G2","30","",""
"Ph.D. App Chem","60","Ph.D. App Chem-G1","30","",""
"Ph.D. App Chem","60","Ph.D. App Chem-G2","30","",""
"MAE-I","60","","","",""
"MAE-II","60","","","",""
"MAS-I-A","60","","","",""
"MAS-II","60","","","",""
"BALLB-I","60","","","",""
"BALLB-II","60","","","",""
"MSW-I","60","MSW-I-G1","30","",""
"MSW-I","60","MSW-I-G2","30","",""
"MSW-II","60","MSW-II-G1","30","",""
"MSW-II","60","MSW-II-G2","30","",""
"Ph.D. ICT","60","Ph.D. ICT-G1","30","",""
"Ph.D. ICT","60","Ph.D. ICT-G2","30","",""
"MTP-I","60","MTP-I-G1","30","",""
"MTP-I","60","MTP-I-G2","30","",""
"MTP-II","60","MTP-II-G1","30","",""
"MTP-II","60","MTP-II-G2","30","",""
"IntMBA-I","60","IntMBA-I-G1","30","",""
"IntMBA-I","60","IntMBA-I-G2","30","",""
"IntMBA-II","60","IntMBA-II-G1","30","",""
"IntMBA-II","60","IntMBA-II-G2","30","",""
"IntMBA-III","60","IntMBA-III-G1","30","",""
"IntMBA-III","60","IntMBA-III-G2","30","",""
"IntMBA-IV","60","IntMBA-IV-G1","30","",""
"IntMBA-IV","60","IntMBA-IV-G2","30","",""
"MBA-I-A","60","MBA-I-A-G1","30","",""
"MBA-I-A","60","MBA-I-A-G2","30","",""
"MBA-II-A","60","MBA-II-A-G1","30","",""
"MBA-II-A","60","MBA-II-A-G2","30","",""
"MTD-II","60","MTD-II-G1","30","",""
"MTD-II","60","MTD-II-G2","30","",""
"MTT-II","60","MTT-II-G1","30","",""
"MTT-II","60","MTT-II-G2","30","",""
"BT-V","60","","","",""
"Ph.D. Biotechnology","60","Ph.D. Biotechnology-G1","30","",""
"Ph.D. Biotechnology","60","Ph.D. Biotechnology-G2","30","",""
"BALLB-III","60","","","",""
"ME-IV","60","ME-IV-G1","30","",""
"ME-IV","60","ME-IV-G2","30","",""
"EE-IV (PED)","60","EE-IV (PED)-G1","30","",""
"EE-IV (PED)","60","EE-IV (PED)-G2","30","",""
"FT-IV","60","","","",""
"IntMBA-V","60","","","",""
"Ph.D.-MBA","60","","","",""
"MAAP-I","60","MAAP-I-G1","30","",""
"MAAP-I","60","MAAP-I-G2","30","",""
"MAAP-II","60","MAAP-II-G1","30","",""
"MAAP-II","60","MAAP-II-G2","30","",""
"MCP-I","60","MCP-I-G1","30","",""
